Producer,Product Name,Variety,Origin/Farm,Altitude,Process,SCA Score,Award,Tasting Notes,Roast,Size,Price (USD),Default Size
Macizo,Macizo Santander,Castillo,"Oiba, Santander","1,500m",Traditional Washed,85,,"caramel, vanilla, dried fruit",Light,340g,25,yes
Macizo,Macizo Santander,Castillo,"Oiba, Santander","1,500m",Traditional Washed,85,,"caramel, vanilla, dried fruit",Light,500g,31,no
Macizo,Macizo Cundinamarca Blend,"Yellow Bourbon, Castillo, Caturra","Puli, Cundinamarca","1,750m",Washed,87,,"sugar cane, caramel, brown sugar, orange",Light,340g,26,yes
Macizo,Macizo Cundinamarca Blend,"Yellow Bourbon, Castillo, Caturra","Puli, Cundinamarca","1,750m",Washed,87,,"sugar cane, caramel, brown sugar, orange",Light,500g,35,no
Macizo,Macizo Pink Bourbon,Pink Bourbon,"Santa María, Huila","1,650m",Washed,87.4,,"orange blossom, honey, lemongrass, arazá",Light,340g,32,yes
Macizo,Macizo Pink Bourbon,Pink Bourbon,"Santa María, Huila","1,650m",Washed,87.4,,"orange blossom, honey, lemongrass, arazá",Light,500g,38,no
Macizo,Macizo Caturra,Caturra,"Oiba, Santander","1,350m",Washed,,,"citrus, balanced sweetness",Light,340g,25,yes
Macizo,Macizo Caturra,Caturra,"Oiba, Santander","1,350m",Washed,,,"citrus, balanced sweetness",Light,500g,31,no
Macizo,Macizo Special Edition Java,Java,"La Victoria, Cundinamarca","1,650m",Natural,88.2,,"licorice, sweet tobacco, nectarine",Light,340g,38,yes
Macizo,Macizo Special Edition Java,Java,"La Victoria, Cundinamarca","1,650m",Natural,88.2,,"licorice, sweet tobacco, nectarine",Light,500g,46,no
Macizo,Macizo Java Natural,Java,El Colegio,"1,650m",Natural,,,"sweet rum, cacao, fruit",Light,340g,44,yes
Macizo,Macizo Java Natural,Java,El Colegio,"1,650m",Natural,,,"sweet rum, cacao, fruit",Light,500g,56,no
Macizo,Macizo Gesha,Gesha,"Anolaima, Cundinamarca","1,750m",Washed Organic,,,"jasmine, rose, cocoa, blueberry, peach, vanilla, tangerine",Light,340g,44,yes
Macizo,Macizo Gesha,Gesha,"Anolaima, Cundinamarca","1,750m",Washed Organic,,,"jasmine, rose, cocoa, blueberry, peach, vanilla, tangerine",Light,500g,58,no
Macizo,Macizo House Blend,Traditional varieties blend,Cundinamarca,"1,750m",Washed & Honey,,,"sugar cane, lemongrass, nuts",Light,340g,29,yes
Macizo,Macizo House Blend,Traditional varieties blend,Cundinamarca,"1,750m",Washed & Honey,,,"sugar cane, lemongrass, nuts",Light,500g,38,no
Macizo,Macizo House Blend Reloaded,Traditional varieties blend,Cundinamarca,"1,750m",Washed & Honey,,Premium Silver Global Award,"dried fruits, nuts, brown sugar",Light,340g,32,yes
Macizo,Macizo House Blend Reloaded,Traditional varieties blend,Cundinamarca,"1,750m",Washed & Honey,,Premium Silver Global Award,"dried fruits, nuts, brown sugar",Light,500g,38,no
Expresiones,Expresiones Castillo,Castillo,"Finca La Sirena, Calarcá, Quindío","1,630m",Washed with Thermal Action,,,"dark chocolate, caramel, orange, panela, dried fruits",Light,250g,22,yes
Expresiones,Expresiones Bourbon Naranja,Bourbon Naranja,"Finca La Sirena, Calarcá, Quindío","1,630m",Honey (75% Mucilage),,,"yellow fruits, flowers, peach, caramel, lemongrass, spices",Light,250g,27,yes
Expresiones,Expresiones Geisha,Geisha,"Finca La Macarena, Pijao, Quindío","1,658m",Washed Carbonic Maceration,,,"yellow fruits, lemongrass, jasmine, lime, green tea, cacao, vanilla",Light,250g,33,yes
Expresiones,Expresiones Wush Wush,Wush Wush,"Finca La Linda, Buenavista, Quindío","1,550m",Natural,,,"purple fruits, roses, maple honey, wild blackberry, black tea, spices",Light,250g,38,yes
Expresiones,Expresiones SL-28,SL-28,"Finca Bellavista, Quimbaya, Quindío","1,350m",Natural,,,"ripe pineapple, plum, flowers, caramelized coconut, cinnamon, cardamom, anise",Light,250g,47,yes
